StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q4,Q5,Q6,,Q7,Q8,Q8_5_TEXT,Q9,Q10,Q10_5_TEXT,Q11,Q14,Q14_6_TEXT,Q15,Q12,Q13,Q16,Q17,Q17_9_TEXT,Q18
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Which school are you from?,Which year are you currently in?,How career oriented are you?,Are you interested in the arts?,Why or why not?,Interested category,"Prior to SMU, were you in any arts CCA?","If your answer to the above question is yes, in which category does it fall under? - Q8","If your answer to the above question is yes, in which category does it fall under? - Others - Text",Were you ever actively involved in an arts CCA in SMU?,"If your answer to the above question is yes, in which category does it fall under? - Q10","If your answer to the above question is yes, in which category does it fall under? - Others - Text","Do you participate in any external art activities? (e.g. open dance classes, art jamming workshops, etc.)",Which of these categories of art interest you? - Selected Choice,Which of these categories of art interest you? - Others - Text,"How much do you support the local arts scene? (e.g. attending performing arts concerts, visiting art galleries, keeping up with artists, etc.)",How often do you visit SMU Connexion on a weekly basis?,Rate the arts scene in SMU.,Do you think SMU is currently doing enough for the local arts scene?,"When you think of a location in SMU that embodies/celebrates art, which location do you have in mind? - Selected Choice","When you think of a location in SMU that embodies/celebrates art, which location do you have in mind? - Others - Text",Will you be interested in a collaborative space for the arts?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6_TEXT""}",,"{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID8_5_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID10_5_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID14""}","{""ImportId"":""QID14_6_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID17_9_TEXT""}","{""ImportId"":""QID18""}"
4/3/2020 20:58,4/3/2020 21:00,IP Address,202.161.55.23,100,88,TRUE,4/3/2020 21:00,R_1P59kB6X2Dvo4P5,,,,,1.292098999,103.8482056,anonymous,EN,Lee Kong Chian School of Business,Year 4,A moderate amount,Probably yes,Fun,Interesting/Fun,Yes,Music,,Yes,Music,,A moderate amount,"Performing,Music",,A little,2-3 times a week,Moderately good,Probably yes,"T-Junction,Campus Green,Drama & Music Lab,Arts & Culture Club",,Probably yes
4/3/2020 21:01,4/3/2020 21:02,IP Address,119.56.108.252,100,90,TRUE,4/3/2020 21:02,R_1Lo5rg1cSEPGkwK,,,,,1.369003296,103.8826904,anonymous,EN,School of Information Systems,Year 4,A moderate amount,Probably yes,Because of my friends,Others,No,,,Yes,Performing,,None at all,"Performing,Music",,None at all,Once a week,Slightly good,Might or might not,"T-Junction,Campus Green,SOE Fishtanks",,Definitely yes
4/3/2020 21:01,4/3/2020 21:04,IP Address,111.65.57.236,100,172,TRUE,4/3/2020 21:04,R_3IQv79dIGreeLrz,,,,,1.36390686,103.8370056,anonymous,EN,School of Law,Year 4,A moderate amount,Definitely yes,Always was in arts cca since primary school ,Since young/CCA,Yes,Performance,,Yes,Performing,,A moderate amount,Performing,,A moderate amount,Once a week,Moderately good,Probably yes,"T-Junction,SMUSA Hub,Campus Green",,Probably yes
4/3/2020 21:09,4/3/2020 21:10,IP Address,111.65.58.48,100,62,TRUE,4/3/2020 21:10,R_ZaFbqbQ2FrpMq8F,,,,,1.32220459,103.842804,anonymous,EN,School of Accountancy,Year 4,A moderate amount,Probably yes,Since childhood,Since young/CCA,No,,,Yes,Music,,A little,"Performing,Music",,A little,Once a week,Slightly good,Probably yes,Drama & Music Lab,,Might or might not
4/3/2020 21:15,4/3/2020 21:16,IP Address,111.65.45.217,100,63,TRUE,4/3/2020 21:17,R_3KvVNsHbXz8vcZv,,,,,1.292892456,103.8547058,anonymous,EN,School of Social Sciences,Year 4,A lot,Probably yes,It’s interesting ,Interesting/Fun,No,,,No,,,A moderate amount,Visual,,A lot,Once a week,Neither good nor bad,Probably not,Campus Green,,Definitely yes
4/3/2020 21:14,4/3/2020 21:16,IP Address,183.90.36.46,100,136,TRUE,4/3/2020 21:18,R_2amcy8vLBxkuCIj,,,,,1.36390686,103.8370056,anonymous,EN,Lee Kong Chian School of Business,Year 4,A moderate amount,Definitely yes,I like expressions of creativity,Form of relaxation/self-expression,Yes,Music,,Yes,Music,,A great deal,"Visual,Performing,Literature,Music",,A moderate amount,Once a week,Moderately good,Probably yes,"T-Junction,Campus Green,Drama & Music Lab,Arts & Culture Club",,Definitely yes
4/3/2020 21:17,4/3/2020 21:20,IP Address,203.211.155.3,100,157,TRUE,4/3/2020 21:35,R_dhhSzATWqhfJC3T,,,,,1.332504272,103.8815918,anonymous,EN,School of Economics,Year 4,A lot,Definitely yes,"Brings a lot of joy and enjoyment to one’s life, also an outlet to express yourself",Form of relaxation/self-expression,Yes,Music,,Yes,Music,,None at all,Performing,,A moderate amount,2-3 times a week,Moderately good,Probably yes,"Drama & Music Lab,Arts & Culture Club",,Probably yes
4/3/2020 21:16,4/3/2020 21:19,IP Address,116.86.86.143,100,168,TRUE,4/3/2020 21:35,R_1hYCZedMg9dZ8E6,,,,,1.292892456,103.8547058,anonymous,EN,Lee Kong Chian School of Business,Year 4,A moderate amount,Probably yes,I find fun in some form of arts,Interesting/Fun,Yes,Performance,,Yes,Performing,,None at all,Music,,A moderate amount,2-3 times a week,Neither good nor bad,Might or might not,Campus Green,,Probably yes
4/3/2020 21:42,4/3/2020 21:45,IP Address,116.89.58.62,100,168,TRUE,4/3/2020 21:45,R_3GqcuoDFEV56yoF,,,,,1.386993408,103.7478943,anonymous,EN,School of Information Systems,Year 4,A little,Probably yes,Expression and diversity of opinions!,Form of relaxation/self-expression,Yes,Performance,,Yes,Performing,,A moderate amount,"Visual,Performing,Music",,A moderate amount,2-3 times a week,Neither good nor bad,Probably yes,"T-Junction,SMUSA Hub,Drama & Music Lab,Arts & Culture Club,Others",De suantio gallery,Probably yes
4/3/2020 21:13,4/3/2020 22:44,IP Address,202.161.35.29,100,5503,TRUE,4/3/2020 22:44,R_RWgFnpN4NgvJlGF,,,,,1.355194092,103.8859863,anonymous,EN,School of Social Sciences,Year 4,A lot,Probably yes,Not exposed enough,No interest or no exposure ,Yes,Performance,,Yes,Others,,A little,"Performing,Music",,A little,2-3 times a week,Moderately bad,Probably yes,Drama & Music Lab,,Might or might not
5/3/2020 1:26,5/3/2020 1:29,IP Address,202.161.55.21,100,197,TRUE,5/3/2020 1:29,R_2zTOTVqHLP7U2xg,,,,,1.292098999,103.8482056,anonymous,EN,School of Accountancy,Year 4,A moderate amount,Probably yes,I have been learning drawing and music since young - have background in arts.,Since young/CCA,Yes,Music,,Yes,Music,,A little,"Visual,Performing,Music",,A moderate amount,2-3 times a week,Slightly good,Might or might not,"T-Junction,Campus Green",,Probably yes
5/3/2020 2:28,5/3/2020 2:30,IP Address,202.161.35.27,100,161,TRUE,5/3/2020 2:30,R_2PzC40bQaTKxwIE,,,,,1.355194092,103.8859863,anonymous,EN,School of Information Systems,Year 3,A moderate amount,Might or might not,It's quite relaxing at times ,Form of relaxation/self-expression,No,,,No,,,A moderate amount,"Visual,Performing,Literature,Music",,A moderate amount,Once a week,Neither good nor bad,Probably not,T-Junction,,Probably yes
5/3/2020 2:31,5/3/2020 2:32,IP Address,103.252.202.158,100,53,TRUE,5/3/2020 2:32,R_0HEDM7pR0wi3lrb,,,,,1.304992676,103.8583984,anonymous,EN,School of Information Systems,Year 3,A moderate amount,Probably yes,Interesting,Interesting/Fun,No,,,No,,,None at all,"Visual,Music",,A moderate amount,2-3 times a week,Moderately good,Probably yes,"T-Junction,Campus Green,Drama & Music Lab,Arts & Culture Club",,Probably yes
5/3/2020 2:43,5/3/2020 2:44,IP Address,202.161.35.27,100,93,TRUE,5/3/2020 2:44,R_2XiFhSwiIIUei1J,,,,,1.355194092,103.8859863,anonymous,EN,School of Economics,Year 3,I prioritise my career over everything,Probably not,doesn't really interest me,No interest or no exposure ,No,,,No,,,A little,Music,,A moderate amount,Never,Neither good nor bad,Might or might not,"Campus Green,Drama & Music Lab",,Might or might not
5/3/2020 2:44,5/3/2020 2:46,IP Address,202.161.35.27,100,116,TRUE,5/3/2020 2:46,R_1IS0jXMvBauHfXN,,,,,1.355194092,103.8859863,anonymous,EN,School of Information Systems,Year 3,A lot,Probably yes,entertainment,Interesting/Fun,Yes,Performance,,No,,,A little,"Visual,Performing",,A moderate amount,Never,Neither good nor bad,Probably not,"T-Junction,Campus Green",,Probably yes
5/3/2020 2:47,5/3/2020 2:48,IP Address,202.161.35.27,100,86,TRUE,5/3/2020 2:48,R_3EXVPp65MBcmjUB,,,,,1.355194092,103.8859863,anonymous,EN,School of Information Systems,Year 4,A lot,Probably yes,its interesting and fun to check out,Interesting/Fun,No,,,Yes,Performing,,A lot,"Visual,Performing,Music",,A lot,Once a week,Moderately good,Probably not,"T-Junction,SMUSA Hub,Campus Green",,Definitely yes
5/3/2020 2:55,5/3/2020 2:57,IP Address,202.161.35.27,100,77,TRUE,5/3/2020 2:57,R_1LYXuV2K95Jo8cE,,,,,1.355194092,103.8859863,anonymous,EN,School of Information Systems,Year 3,A moderate amount,Probably not,No my interest,No interest or no exposure ,No,,,No,,,None at all,Arts don't interest me at all,,A moderate amount,Never,Moderately good,Probably yes,"T-Junction,Campus Green",,Might or might not
5/3/2020 2:46,5/3/2020 2:58,IP Address,122.11.168.82,100,743,TRUE,5/3/2020 2:58,R_3qPBDO8AQHLgk98,,,,,1.292892456,103.8547058,anonymous,EN,School of Economics,Year 3,A lot,Probably not,Not interested,No interest or no exposure ,No,,,No,,,None at all,Arts don't interest me at all,,None at all,2-3 times a week,Neither good nor bad,Might or might not,SOE Fishtanks,,Might or might not
5/3/2020 3:07,5/3/2020 3:09,IP Address,202.161.35.27,100,92,TRUE,5/3/2020 3:09,R_12naVSjom6c2y2q,,,,,1.36390686,103.8370056,anonymous,EN,School of Information Systems,Year 3,A lot,Definitely not,No talent bro... U can't simply force the talent out of you,No talent,No,,,No,,,None at all,"Performing,Music",,A moderate amount,Never,Slightly good,Might or might not,"T-Junction,Campus Green",,Might or might not
